,name,age,height,short-age
0,Brigitte Bardot,91,5ft 5,False
1,Sophia Loren,91,5ft 7,False
2,Armin Mueller-Stahl,95,6ft 0,False
3,John Cleese,86,6ft 5,False
4,Brad Pitt,62,5ft 11,False
5,Woody Allen,90,5ft 5,False
6,Gillian Anderson,57,5ft 2,False
7,Pamela Anderson,58,5ft 5,False
8,Jennifer Aniston,56,5ft 4,False
9,Patricia Arquette,57,5ft 1,False
10,Kevin Bacon,67,5ft 10,False
11,Fairuza Balk,51,5ft 2,False
12,Antonio Banderas,65,5ft 8,False
13,Adrienne Barbeau,80,5ft 2,False
14,Drew Barrymore,50,5ft 3,False
15,Kim Basinger,72,5ft 6,False
16,Yasmine Bleeth,57,5ft 4,False
17,Kenneth Branagh,65,5ft 9,False
18,Matthew Broderick,63,5ft 7,False
19,Pierce Brosnan,72,6ft 1,False
20,Sandra Bullock,61,5ft 7,False
21,Steve Buscemi,68,5ft 8,False
22,Nicolas Cage,61,6ft 0,False
23,Neve Campbell,52,5ft 5,False
24,Jim Carrey,63,6ft 1,False
25,Phoebe Cates,62,5ft 6,False
26,George Clooney,64,5ft 10,False
27,Jennifer Connelly,55,5ft 6,False
28,Kevin Costner,70,6ft 1,False
29,Russell Crowe,61,5ft 10,False
30,Tom Cruise,63,5ft 7,False
31,Claire Danes,46,5ft 5,False
32,Geena Davis,69,6ft 0,False
33,Robert De Niro,82,5ft 9,False
34,Johnny Depp,62,5ft 9,False
35,Bo Derek,69,5ft 3,False
36,Leonardo DiCaprio,51,5ft 11,False
37,Cameron Diaz,53,5ft 8,False
38,Michael Douglas,81,5ft 9,False
39,David Duchovny,65,6ft,False
40,Clint Eastwood,95,6ft 3,False
41,Erika Eleniak,56,5ft 5,False
42,Cary Elwes,63,5ft 11,False
43,Sherilyn Fenn,60,5ft 2,False
44,Ralph Fiennes,63,5ft 11,False
45,Colin Firth,65,6ft 1,False
46,Harrison Ford,83,6ft,False
47,Jodie Foster,63,5ft 2,False
48,Morgan Freeman,88,6ft 2,False
49,Richard Gere,76,5ft 10,False
50,Gina Gershon,63,5ft 5,False
51,Mel Gibson,69,5ft 9,False
52,Whoopi Goldberg,70,5ft 4,False
53,Jeff Goldblum,73,6ft 4,False
54,Linda Hamilton,69,5ft 5,False
55,Tom Hanks,69,6ft 0,False
56,Teri Hatcher,61,5ft 5,False
57,Ethan Hawke,55,5ft 10,False
58,Salma Hayek,59,5ft 1,False
59,Dustin Hoffman,88,5ft 5,False
